Date;Libelle;Compte;Libelle du compte;Debit;Credit
17/05/2024;A Davai -Restitution du Capital Soccial-Me Quentin Foure - FOUREZ QUENTIN HUBERT ALEXIS;512001;Banque 1;100,00;0,00
17/05/2024;A Davai -Restitution du Capital Soccial-Me Quentin Foure - FOUREZ QUENTIN HUBERT ALEXIS;101000;Capital;0,00;100,00
12/06/2024;Facturation 202406-1 - PM. ARMEN;411000;Clients;9819,60;0,00
12/06/2024;Facturation 202406-1 - PM. ARMEN;445880;TVA sur prestation de service en attente de paiement - Clients;0,00;1600,00
12/06/2024;Facturation 202406-1 - PM. ARMEN;707000;Vente de marchandise;0,00;219,60
12/06/2024;Facturation 202406-1 - PM. ARMEN;706001;Vente de service;0,00;8000,00
10/07/2024;Virement de H - PM ARMEN;411000;Clients;0,00;9819,60
10/07/2024;Virement de H - PM ARMEN;512001;Banque 1;9819,60;0,00
10/07/2024;Encaissement 202406-1 - PM. ARMEN;445710;TVA collectee;0,00;1600,00
10/07/2024;Encaissement 202406-1 - PM. ARMEN;445880;TVA sur prestation de service en attente de paiement - Clients;1600,00;0,00
19/07/2024;SHADOW;445610;TVA deductible;8,33;0,00
19/07/2024;SHADOW;512001;Banque 1;0,00;49,98
19/07/2024;SHADOW;613500;Location de materiel;41,65;0,00
30/07/2024;CODEUR.COM;445610;TVA deductible;6,38;0,00
30/07/2024;CODEUR.COM;512001;Banque 1;0,00;38,28
30/07/2024;CODEUR.COM;613600;Abonnements logiciels;31,90;0,00
19/08/2024;SHADOW;512001;Banque 1;0,00;49,98
19/08/2024;SHADOW;445610;TVA deductible;8,33;0,00
19/08/2024;SHADOW;613500;Location de materiel;41,65;0,00
02/09/2024;Google GSUITE_davai.co;512001;Banque 1;0,00;8,28
02/09/2024;Google GSUITE_davai.co;445610;TVA deductible;1,38;0,00
02/09/2024;Google GSUITE_davai.co;613600;Abonnements logiciels;6,90;0,00
06/09/2024;Transaction par carte en devise etrangere - SWAN;445610;TVA deductible;0,21;0,00
06/09/2024;Transaction par carte en devise etrangere - SWAN;627000;Services bancaires;1,06;0,00
06/09/2024;Transaction par carte en devise etrangere - SWAN;512001;Banque 1;0,00;1,27
02/08/2024;ANKALAB;512001;Banque 1;0,00;65,00
02/08/2024;ANKALAB;623000;Publicite, publications, relations publiques;54,17;0,00
02/08/2024;ANKALAB;445610;TVA deductible;10,83;0,00
05/09/2024;LEETCODE.COM;512001;Banque 1;0,00;63,48
05/09/2024;LEETCODE.COM;445610;TVA deductible;10,58;0,00
05/09/2024;LEETCODE.COM;622000;Honoraires divers;52,90;0,00
30/08/2024;CODEUR.COM;613600;Abonnements logiciels;31,90;0,00
30/08/2024;CODEUR.COM;512001;Banque 1;0,00;38,28
30/08/2024;CODEUR.COM;445610;TVA deductible;6,38;0,00
13/08/2024;PADDLE.NET* BYTEBYTEGO;512001;Banque 1;0,00;55,97
13/08/2024;PADDLE.NET* BYTEBYTEGO;445610;TVA deductible;9,33;0,00
13/08/2024;PADDLE.NET* BYTEBYTEGO;622000;Honoraires divers;46,64;0,00
11/09/2024;Transaction par carte en devise etrangere - SWAN;627000;Services bancaires;1,51;0,00
11/09/2024;Transaction par carte en devise etrangere - SWAN;445610;TVA deductible;0,30;0,00
11/09/2024;Transaction par carte en devise etrangere - SWAN;512001;Banque 1;0,00;1,81
10/09/2024;GITHUB, INC.;613600;Abonnements logiciels;75,53;0,00
10/09/2024;GITHUB, INC.;512001;Banque 1;0,00;90,64
10/09/2024;GITHUB, INC.;445610;TVA deductible;15,11;0,00
13/09/2024;Transaction par carte en devise etrangere - SWAN;627000;Services bancaires;0,30;0,00
13/09/2024;Transaction par carte en devise etrangere - SWAN;445610;TVA deductible;0,06;0,00
13/09/2024;Transaction par carte en devise etrangere - SWAN;512001;Banque 1;0,00;0,36
13/09/2024;OPENAI *CHATGPT SUBSCR;445610;TVA deductible;3,03;0,00
